issue,split,task_type,count
named_identity_ambiguous,test,count_within_radius,4
named_identity_ambiguous,train,cardinal_direction,307
named_identity_ambiguous,train,closer_of_two,493
named_identity_ambiguous,train,count_within_radius,56
named_identity_ambiguous,validation,cardinal_direction,30
named_identity_ambiguous,validation,closer_of_two,71
named_identity_ambiguous,validation,count_within_radius,10
nearest_gap_within_0_2m,train,nearest_category,15
nearest_gap_within_0_2m,train,nearest_of_two_categories,10
nearest_gap_within_0_2m,train,spatial_multi_constraint,6
nearest_gap_within_0_2m,validation,nearest_category,2
nearest_gap_within_0_2m,validation,nearest_of_two_categories,2
query_origin_differs_from_context_anchor,test,count_within_radius,86
query_origin_differs_from_context_anchor,train,count_within_radius,684
query_origin_differs_from_context_anchor,validation,count_within_radius,94
radius_boundary_within_0_2m,train,count_within_radius,1
radius_boundary_within_0_2m,train,within_radius_yes_no,1
radius_boundary_within_0_2m,validation,within_radius_yes_no,1
reconstructability_B,train,cardinal_direction,337
reconstructability_B,train,closer_of_two,502
reconstructability_B,train,count_within_radius,73
reconstructability_B,train,nearest_category,5
reconstructability_B,validation,cardinal_direction,33
reconstructability_B,validation,closer_of_two,73
reconstructability_B,validation,count_within_radius,13
reconstructability_F,train,within_radius_yes_no,1
repeated_name_gold_answer,train,closer_of_two,249
repeated_name_gold_answer,train,nearest_category,837
repeated_name_gold_answer,train,nearest_of_two_categories,230
repeated_name_gold_answer,train,spatial_multi_constraint,257
repeated_name_gold_answer,train,two_hop_nearest,228
repeated_name_gold_answer,validation,closer_of_two,33
repeated_name_gold_answer,validation,nearest_category,103
repeated_name_gold_answer,validation,nearest_of_two_categories,32
repeated_name_gold_answer,validation,spatial_multi_constraint,25
repeated_name_gold_answer,validation,two_hop_nearest,34
same_name_multiple_coordinates,test,cardinal_direction,285
same_name_multiple_coordinates,test,closer_of_two,193
same_name_multiple_coordinates,test,count_within_radius,82
same_name_multiple_coordinates,test,nearest_category,708
same_name_multiple_coordinates,test,nearest_of_two_categories,173
same_name_multiple_coordinates,test,spatial_multi_constraint,165
same_name_multiple_coordinates,test,two_hop_nearest,176
same_name_multiple_coordinates,test,within_radius_yes_no,192
same_name_multiple_coordinates,train,cardinal_direction,2383
same_name_multiple_coordinates,train,closer_of_two,1637
same_name_multiple_coordinates,train,count_within_radius,617
same_name_multiple_coordinates,train,nearest_category,6147
same_name_multiple_coordinates,train,nearest_of_two_categories,1470
same_name_multiple_coordinates,train,spatial_multi_constraint,1384
same_name_multiple_coordinates,train,two_hop_nearest,1487
same_name_multiple_coordinates,train,within_radius_yes_no,1612
same_name_multiple_coordinates,validation,cardinal_direction,283
same_name_multiple_coordinates,validation,closer_of_two,202
same_name_multiple_coordinates,validation,count_within_radius,77
same_name_multiple_coordinates,validation,nearest_category,753
same_name_multiple_coordinates,validation,nearest_of_two_categories,183
same_name_multiple_coordinates,validation,spatial_multi_constraint,175
same_name_multiple_coordinates,validation,two_hop_nearest,190
same_name_multiple_coordinates,validation,within_radius_yes_no,202
target_name_collides_with_context_anchor,test,cardinal_direction,6
target_name_collides_with_context_anchor,test,closer_of_two,2
target_name_collides_with_context_anchor,train,cardinal_direction,31
target_name_collides_with_context_anchor,train,closer_of_two,9
target_name_collides_with_context_anchor,validation,cardinal_direction,3
target_name_collides_with_context_anchor,validation,closer_of_two,3
